Destination,feedback_score_out_of_10,average_hotel_star_rating,number_of_all-inclusive_hotels,most_visited_city
Dubai,10,4.5,9,Dubai
The Caribbean,10,4.5,33,Dominican Republic
Bali,10,4.5,2715,Bali
Seychelles,10,4.5,5,Mahe Islan
The Silk Road,7,4.5,90,Samarkand
Thailand,8,4.5,30,Bangkok
Mauritius,10,4.5,26,Port Louis
The Maldives,10,4.5,80,Male Atoll
Hawaii,8,4.5,19,Honolulu
"Aeolian Islands, Italy",9,4.5,38,Stromboli
"Ilha da Fuseta, Portugal",7,4.5,1718,Ilha da Fuseta
"Santa Giulia, Corsica",7,4.5,2842,Santa Giulia
Fiji,7,4.5,38,Fiji
Australia,8,4.5,16,Sydney
Cambodia,8,4.5,1915,Angkor Wat
